store,40586,1505114863505
store,40587,1505114863507
store,40588,1505114863508
store,40589,1505114863508
store,40590,1505114863508
store,40591,1505114863508
store,40592,1505114863510
store,40593,1505114863511
store,40594,1505114863511
store,40595,1505114863511
execute,40585,1505114863511
execute,40586,1505114863517
store,40596,1505114863520
store,40597,1505114863520
store,40598,1505114863520
store,40599,1505114863521
store,40600,1505114863521
store,40601,1505114863522
execute,40587,1505114863522
store,40602,1505114863523
store,40603,1505114863523
store,40604,1505114863524
store,40605,1505114863524
execute,40588,1505114863527
store,40606,1505114863532
execute,40589,1505114863532
store,40607,1505114863533
store,40608,1505114863533
store,40609,1505114863534
store,40610,1505114863535
store,40611,1505114863535
store,40612,1505114863535
store,40613,1505114863536
store,40614,1505114863537
store,40615,1505114863537
execute,40590,1505114863537
execute,40591,1505114863543
store,40616,1505114863548
execute,40592,1505114863548
store,40617,1505114863549
store,40618,1505114863549
store,40619,1505114863549
store,40620,1505114863549
store,40621,1505114863550
store,40622,1505114863551
store,40623,1505114863551
store,40624,1505114863552
store,40625,1505114863552
execute,40593,1505114863553
execute,40594,1505114863558
store,40626,1505114863561
store,40627,1505114863561
store,40628,1505114863561
store,40629,1505114863562
execute,40595,1505114863562
store,40630,1505114863563
store,40631,1505114863563
store,40632,1505114863563
store,40633,1505114863563
store,40634,1505114863564
store,40635,1505114863564
execute,40596,1505114863566
store,40636,1505114863571
store,40637,1505114863572
store,40638,1505114863572
execute,40597,1505114863572
store,40639,1505114863572
store,40640,1505114863573
store,40641,1505114863573
store,40642,1505114863573
store,40643,1505114863573
store,40644,1505114863573
store,40645,1505114863574
execute,40598,1505114863577
store,40646,1505114863581
store,40647,1505114863582
execute,40599,1505114863583
store,40648,1505114863584
store,40649,1505114863584
store,40650,1505114863584
store,40651,1505114863584
store,40652,1505114863585
store,40653,1505114863585
store,40654,1505114863585
store,40655,1505114863585
execute,40600,1505114863589
store,40656,1505114863593
store,40657,1505114863593
store,40658,1505114863594
execute,40601,1505114863594
store,40659,1505114863594
store,40660,1505114863594
store,40661,1505114863594
store,40662,1505114863595
store,40663,1505114863595
store,40664,1505114863595
store,40665,1505114863596
execute,40602,1505114863598
store,40666,1505114863603
execute,40603,1505114863604
store,40667,1505114863604
store,40668,1505114863604
store,40669,1505114863604
store,40670,1505114863605
store,40671,1505114863605
store,40672,1505114863605
store,40673,1505114863606
store,40674,1505114863606
store,40675,1505114863606
execute,40604,1505114863632
store,40676,1505114863636
store,40677,1505114863636
store,40678,1505114863636
store,40679,1505114863637
store,40680,1505114863637
store,40681,1505114863637
store,40682,1505114863638
execute,40605,1505114863638
store,40683,1505114863638
store,40684,1505114863639
store,40685,1505114863639
execute,40606,1505114863643
store,40686,1505114863646
store,40687,1505114863646
store,40688,1505114863648
store,40689,1505114863649
execute,40607,1505114863649
store,40690,1505114863650
store,40691,1505114863650
store,40692,1505114863650
store,40693,1505114863650
store,40694,1505114863651
store,40695,1505114863651
execute,40608,1505114863654
store,40696,1505114863657
store,40697,1505114863658
store,40698,1505114863658
store,40699,1505114863658
store,40700,1505114863658
store,40701,1505114863659
store,40702,1505114863659
execute,40609,1505114863659
store,40703,1505114863659
store,40704,1505114863659
store,40705,1505114863660
execute,40610,1505114863663
store,40706,1505114863666
store,40707,1505114863666
store,40708,1505114863666
store,40709,1505114863666
store,40710,1505114863667
store,40711,1505114863667
store,40712,1505114863668
store,40713,1505114863668
store,40714,1505114863668
store,40715,1505114863668
execute,40611,1505114863669
execute,40612,1505114863674
store,40716,1505114863674
store,40717,1505114863675
store,40718,1505114863675
store,40719,1505114863675
store,40720,1505114863676
store,40721,1505114863676
store,40722,1505114863676
store,40723,1505114863677
store,40724,1505114863677
store,40725,1505114863677
execute,40613,1505114863679
execute,40614,1505114863684
store,40726,1505114863684
store,40727,1505114863685
store,40728,1505114863685
store,40729,1505114863685
store,40730,1505114863686
store,40731,1505114863686
store,40732,1505114863686
store,40733,1505114863687
store,40734,1505114863687
store,40735,1505114863687
execute,40615,1505114863689
store,40736,1505114863694
execute,40616,1505114863694
store,40737,1505114863694
store,40738,1505114863695
store,40739,1505114863695
store,40740,1505114863695
store,40741,1505114863695
store,40742,1505114863696
store,40743,1505114863697
store,40744,1505114863697
store,40745,1505114863698
execute,40617,1505114863701
store,40746,1505114863703
store,40747,1505114863704
store,40748,1505114863704
store,40749,1505114863704
store,40750,1505114863705
store,40751,1505114863705
store,40752,1505114863705
store,40753,1505114863706
store,40754,1505114863706
store,40755,1505114863706
execute,40618,1505114863706
execute,40619,1505114863710
store,40756,1505114863714
store,40757,1505114863714
store,40758,1505114863715
store,40759,1505114863715
store,40760,1505114863715
store,40761,1505114863715
execute,40620,1505114863715
store,40762,1505114863718
store,40763,1505114863718
store,40764,1505114863718
store,40765,1505114863719
execute,40621,1505114863720
execute,40622,1505114863723
execute,40623,1505114863727
store,40766,1505114863731
store,40767,1505114863731
store,40768,1505114863731
store,40769,1505114863732
store,40770,1505114863732
store,40771,1505114863732
execute,40624,1505114863732
store,40772,1505114863734
store,40773,1505114863734
store,40774,1505114863735
store,40775,1505114863735
execute,40625,1505114863736
execute,40626,1505114863740
store,40776,1505114863743
store,40777,1505114863743
store,40778,1505114863744
store,40779,1505114863744
store,40780,1505114863744
store,40781,1505114863744
execute,40627,1505114863745
store,40782,1505114863745
store,40783,1505114863746
store,40784,1505114863746
store,40785,1505114863747
execute,40628,1505114863749
store,40786,1505114863753
store,40787,1505114863753
execute,40629,1505114863753
store,40788,1505114863754
store,40789,1505114863754
store,40790,1505114863755
store,40791,1505114863755
store,40792,1505114863756
store,40793,1505114863757
store,40794,1505114863758
